Ref,Val,Package,PosX,PosY,Rot,Side
"U34","WS2812-2020","LED_WS2812-2020",117.500000,-80.250000,0.000000,top
"U35","WS2812-2020","LED_WS2812-2020",112.750000,-82.750000,0.000000,top
"U36","WS2812-2020","LED_WS2812-2020",178.250000,-82.750000,0.000000,top
"U37","WS2812-2020","LED_WS2812-2020",173.750000,-85.250000,0.000000,top
"U38","WS2812-2020","LED_WS2812-2020",169.000000,-87.750000,0.000000,top
"U39","WS2812-2020","LED_WS2812-2020",164.250000,-90.500000,0.000000,top
"U40","WS2812-2020","LED_WS2812-2020",159.500000,-93.000000,0.000000,top
"U41","WS2812-2020","LED_WS2812-2020",155.000000,-95.500000,0.000000,top
"U42","WS2812-2020","LED_WS2812-2020",150.250000,-98.000000,0.000000,top
"U43","WS2812-2020","LED_WS2812-2020",145.500000,-100.500000,0.000000,top
"U44","WS2812-2020","LED_WS2812-2020",173.750000,-80.250000,0.000000,top
"U45","WS2812-2020","LED_WS2812-2020",169.000000,-82.750000,0.000000,top
"U46","WS2812-2020","LED_WS2812-2020",164.250000,-85.250000,0.000000,top
"U47","WS2812-2020","LED_WS2812-2020",159.500000,-87.750000,0.000000,top
"U48","WS2812-2020","LED_WS2812-2020",155.000000,-90.500000,0.000000,top
"U49","WS2812-2020","LED_WS2812-2020",150.250000,-93.000000,0.000000,top
"U50","WS2812-2020","LED_WS2812-2020",145.500000,-95.500000,0.000000,top
"U51","WS2812-2020","LED_WS2812-2020",141.000000,-98.000000,0.000000,top
"U52","WS2812-2020","LED_WS2812-2020",169.000000,-77.750000,0.000000,top
"U53","WS2812-2020","LED_WS2812-2020",164.250000,-80.250000,0.000000,top
"U54","WS2812-2020","LED_WS2812-2020",159.500000,-82.750000,0.000000,top
"U55","WS2812-2020","LED_WS2812-2020",155.000000,-85.250000,0.000000,top
"U56","WS2812-2020","LED_WS2812-2020",150.250000,-87.750000,0.000000,top
"U57","WS2812-2020","LED_WS2812-2020",145.500000,-90.500000,0.000000,top
"U58","WS2812-2020","LED_WS2812-2020",141.000000,-93.000000,0.000000,top
"U59","WS2812-2020","LED_WS2812-2020",136.250000,-95.500000,0.000000,top
"U60","WS2812-2020","LED_WS2812-2020",164.250000,-75.250000,0.000000,top
"U61","WS2812-2020","LED_WS2812-2020",159.500000,-77.750000,0.000000,top
"U62","WS2812-2020","LED_WS2812-2020",155.000000,-80.250000,0.000000,top
"U63","WS2812-2020","LED_WS2812-2020",150.250000,-82.750000,0.000000,top
"U64","WS2812-2020","LED_WS2812-2020",145.500000,-85.250000,0.000000,top
"U65","WS2812-2020","LED_WS2812-2020",141.000000,-87.750000,0.000000,top
"U66","WS2812-2020","LED_WS2812-2020",136.250000,-90.500000,0.000000,top
"U67","WS2812-2020","LED_WS2812-2020",131.500000,-93.000000,0.000000,top
